id,name,brewery_type,city,state_province,country,latitude,longitude
4cdae732-9672-463f-b4ba-5c4f3cdcac6c,McMenamins Old Church Brewery,brewpub,Wilsonville,Oregon,United States,45.3007043,-122.7726765
61305a0a-ccbe-4c55-8eb8-54b49983d590,McMenamins Old St. Francis School,brewpub,Bend,Oregon,United States,44.0566885,-121.314499
597943b0-96e5-4f02-95e3-8c76c2b07b84,McMenamins Olympic Club Brewery,brewpub,Centralia,Washington,United States,46.7167828,-122.9539398
a8acab3f-b025-47e5-b2ce-b77c3c38afcf,McMenamins on Monroe,brewpub,Corvallis,Oregon,United States,44.56825637,-123.275563
d34b6cea-2b33-458e-88f9-1eea39c07f1f,McMenamins On the Columbia Brewery,brewpub,Vancouver,Washington,United States,45.61508455,-122.6529665
e10e2e70-8086-4b8b-956e-953449c58bf9,McMenamins Queen Anne Brewery,brewpub,Seattle,Washington,United States,47.6255427,-122.3520571
86687c9b-6107-4e9b-947d-9c6c392e67fa,McMenamins Roseburg Station Brewery,micro,Roseburg,Oregon,United States,43.208554,-123.349051
e527ae5b-352c-40a0-809f-96fae6b66718,McMenamins Six Arms Brewery,brewpub,Seattle,Washington,United States,47.61462221,-122.327845
73d1b31a-e57d-4ed6-b5c3-b53a5988bc5b,McMenamins Spar Cafe Brewery,brewpub,Olympia,Washington,United States,47.04499974,-122.9013768
41da837d-8b75-42a1-8719-a2f833a2cd69,McMenamins Thompson Brewery,micro,Salem,Oregon,United States,44.904043,-123.051309
2c606589-3e2d-41dd-bd10-65ce9488dd7d,McMenamins West Linn Brewery,micro,West Linn,Oregon,United States,45.34604029,-122.6520654
4d1ba278-c182-4c2c-8185-a0d133342486,McNeills Brewery,brewpub,Brattleboro,Vermont,United States,42.8518861,-72.55933779
66ba9cf3-e15c-41c6-8f52-a38637a570a1,MDs Sports Tavern and Grill,brewpub,Davison,Michigan,United States,43.05021425,-83.5173133
3842a6be-3f32-4cd1-99c0-48fcaef62602,Meadowlark Brewing,brewpub,Sidney,Montana,United States,47.7105211,-104.1602945
fd44ed6d-eb54-4d4c-bcb1-5fae973395b3,Mean Max Brew Works,micro,Glens Falls,New York,United States,43.31016635,-73.64451861
8f0626fd-2bfe-4f6f-a8eb-42dbe0a3984b,Mean Sardine,micro,Ericeira,Lisboa,Portugal,38.98126500163354,-9.417647159720808
5694c81b-ce73-4efd-82fa-e685d3a13434,Mecan River Brewing Company,brewpub,Coloma,Wisconsin,United States,44.0343194,-89.5238403
95682129-a52a-40f1-a9d9-16dbf53c7380,Meddlesome Brewing Company,micro,Cordova,Tennessee,United States,35.14057,-89.802564
0a21307c-a2d0-48eb-b9c9-a88032b3b49c,Medusa Brewing Company,micro,Hudson,Massachusetts,United States,42.3909986,-71.566681
7560c905-1ba6-4706-a1d7-3d731962ed4b,Mel's Micro,brewpub,Richland Center,Wisconsin,United States,43.3294383,-90.3868474
531a2d9a-c743-43ad-b663-948083a07511,Melms Brewing Co,proprietor,Hartland,Wisconsin,United States,43.11075028,-88.33311459
458bd9fd-c86a-49ec-b0c3-bf0a3370e85b,Melvin Brewing,regional,Alpine,Wyoming,United States,43.165320030658116,-111.0383150235102
